Date,Price,Open,High,Low,Vol.,Change %
6/14/2019,53141,"51,835","53,448","51,682",3.16M,2.82%
6/17/2019,53141,"53,141","53,985","52,987",1.30M,0.00%
6/18/2019,53985,"52,987","54,139","52,373",1.22M,1.59%
6/19/2019,53601,"54,062","54,293","53,294",979.09K,-0.71%
6/20/2019,54907,"53,525","54,907","53,448",1.19M,2.44%
6/21/2019,54523,"54,907","55,291","54,523",2.28M,-0.70%
6/24/2019,56059,"54,907","56,673","54,523",1.80M,2.82%
6/25/2019,55598,"55,905","55,905","55,291",498.71K,-0.82%
6/26/2019,54139,"55,598","55,675","54,139",1.17M,-2.62%
6/27/2019,53371,"54,523","54,523","53,294",1.51M,-1.42%
6/28/2019,54139,"53,448","55,291","52,526",1.06M,1.44%
7/1/2019,54753,"54,523","55,214","54,446",721.76K,1.13%
7/2/2019,54139,"54,907","54,907","53,985",463.21K,-1.12%
7/3/2019,53448,"54,139","54,523","53,448",1.02M,-1.28%
7/4/2019,55675,"53,755","55,675","53,525",1.44M,4.17%
7/5/2019,55752,"55,675","55,752","55,291",543.09K,0.14%
7/8/2019,54753,"55,291","55,521","54,523",922.93K,-1.79%
7/9/2019,55214,"54,907","55,214","54,216",853.07K,0.84%
7/10/2019,55675,"55,675","55,828","55,214",815.57K,0.83%
7/11/2019,56827,"55,752","57,287","55,752",1.64M,2.07%
7/12/2019,56596,"56,827","57,211","56,519",1.18M,-0.41%
7/15/2019,57595,"56,596","57,595","56,596",1.39M,1.77%
7/16/2019,59284,"57,979","59,898","57,902",2.43M,2.93%
7/17/2019,58516,"58,746","59,207","58,209",1.02M,-1.30%
7/18/2019,58670,"58,286","59,284","58,055",1.10M,0.26%
7/19/2019,60666,"58,670","61,281","58,670",1.68M,3.40%
7/22/2019,60666,"60,666","61,050","60,436",1.19M,0.00%
7/23/2019,60590,"60,590","60,897","60,282",798.85K,-0.13%
7/24/2019,59054,"61,050","61,050","58,746",1.76M,-2.54%
7/25/2019,59668,"59,054","59,745","58,900",583.59K,1.04%
7/26/2019,60282,"59,668","61,204","59,514",1.20M,1.03%
7/29/2019,62202,"60,282","62,202","60,129",1.26M,3.19%
7/30/2019,61895,"62,970","63,354","61,895",1.45M,-0.49%
7/31/2019,61588,"61,434","61,818","61,127",654.36K,-0.50%
8/1/2019,61818,"61,588","61,818","61,204",687.57K,0.37%
8/2/2019,60743,"61,204","61,818","60,743",867.68K,-1.74%
8/5/2019,59438,"60,820","61,204","59,207",1.09M,-2.15%
8/6/2019,58593,"58,670","59,054","58,209",1.50M,-1.42%
8/7/2019,60206,"58,593","60,206","58,593",724.55K,2.75%
8/8/2019,60282,"60,282","61,281","59,975",781.59K,0.13%
8/9/2019,60282,"60,436","60,973","60,206",814.89K,0.00%
8/12/2019,59668,"60,282","60,513","59,284",606.10K,-1.02%
8/13/2019,58593,"59,284","59,514","58,286",1.03M,-1.80%
8/14/2019,58593,"59,898","59,898","58,593",452.66K,0.00%
8/15/2019,60666,"57,287","60,666","57,287",651.18K,3.54%
8/16/2019,59822,"59,745","60,359","59,745",703.31K,-1.39%
8/19/2019,58977,"59,822","60,282","58,900",883.94K,-1.41%
8/20/2019,59054,"59,745","59,745","58,900",579.00K,0.13%
8/21/2019,61434,"59,054","61,665","58,900",2.46M,4.03%
8/22/2019,61434,"61,588","61,741","61,127",972.43K,0.00%
8/23/2019,60820,"61,434","61,588","60,820",576.11K,-1.00%
8/26/2019,59745,"60,052","60,359","59,514",857.75K,-1.77%
8/27/2019,58746,"60,052","60,513","58,363",1.42M,-1.67%
8/28/2019,59130,"58,977","59,361","58,977",751.32K,0.65%
8/29/2019,58977,"59,054","59,438","58,746",538.78K,-0.26%
8/30/2019,59668,"59,130","59,668","59,130",357.45K,1.17%
9/3/2019,59745,"59,745","59,822","58,900",741.14K,0.13%
9/4/2019,59361,"59,514","59,514","59,054",673.43K,-0.64%
9/5/2019,59591,"59,284","60,513","59,284",521.76K,0.39%
9/6/2019,59361,"59,898","59,898","59,130",367.48K,-0.39%
9/9/2019,59284,"59,361","59,438","59,130",301.70K,-0.13%
9/10/2019,59668,"59,284","60,820","59,207",831.89K,0.65%
9/11/2019,60052,"59,361","60,282","59,361",180.49K,0.64%
9/12/2019,61050,"60,282","61,050","60,282",1.02M,1.66%
9/13/2019,62893,"61,281","62,970","61,281",1.80M,3.02%
9/16/2019,62202,"62,893","63,508","62,049",889.77K,-1.10%
9/17/2019,62279,"61,972","62,433","61,818",1.14M,0.12%
9/18/2019,61895,"62,279","63,354","61,818",1.03M,-0.62%
9/19/2019,62586,"62,202","62,740","61,818",672.75K,1.12%
9/20/2019,62202,"62,586","63,584","62,202",3.57M,-0.61%
9/23/2019,60666,"62,663","62,893","60,666",1.51M,-2.47%
9/24/2019,61895,"61,050","62,049","60,590",1.01M,2.03%
9/25/2019,61972,"61,434","62,125","60,973",930.64K,0.12%
9/26/2019,62202,"61,972","62,433","61,665",1.33M,0.37%
9/27/2019,63661,"62,433","63,815","62,049",1.77M,2.35%
9/30/2019,63047,"63,661","63,968","62,893",989.88K,-0.96%
10/1/2019,64045,"63,047","64,199","62,817",1.01M,1.58%
10/2/2019,62970,"64,045","64,276","62,740",1.56M,-1.68%
10/3/2019,62970,"62,817","62,970","61,895",1.28M,0.00%
10/4/2019,63738,"62,970","64,122","62,817",1.43M,1.22%
10/7/2019,63584,"64,506","64,890","63,584",1.45M,-0.24%
10/8/2019,65351,"63,584","65,504","63,584",1.87M,2.78%
10/9/2019,64890,"65,351","65,811","64,890",1.10M,-0.71%
10/10/2019,64967,"65,197","65,427","64,890",961.68K,0.12%
10/11/2019,65504,"64,890","65,581","64,813",931.95K,0.83%
10/14/2019,65274,"65,658","66,042","65,274",792.14K,-0.35%
10/15/2019,65427,"65,274","65,581","65,043",827.36K,0.23%
10/16/2019,66119,"66,195","66,272","65,811",853.31K,1.06%
